"variable_name","value_type"
"385624_hilonormal_flag","None"
"385624_value","Categorical"
"385625_hilonormal_flag","None"
"385625_value","Categorical"
"385626_hilonormal_flag","None"
"385626_value","Categorical"
"385627_hilonormal_flag","None"
"385627_value","Categorical"
"385628_hilonormal_flag","None"
"385628_value","Categorical"
"387272_hilonormal_flag","None"
"387272_value","Categorical"
"387430_hilonormal_flag","Categorical"
"387430_value","Numeric + Categorical"
"387438_hilonormal_flag","Categorical"
"387438_value","Numeric + Categorical"
"434509_hilonormal_flag","Categorical"
"434509_value","Categorical"
"434510_hilonormal_flag","None"
"434510_value","Categorical"
"435321_hilonormal_flag","Categorical"
"435321_value","Categorical"
"441319_hilonormal_flag","None"
"441319_value","Categorical"
"449755_hilonormal_flag","Categorical"
"449755_value","Numeric + Categorical"
"466842_hilonormal_flag","None"
"466842_value","Numeric + Categorical"
"467950_hilonormal_flag","None"
"467950_value","Categorical"
"467951_hilonormal_flag","Categorical"
"467951_value","Categorical"
"467981_hilonormal_flag","Categorical"
"467981_value","Categorical"
"469078_hilonormal_flag","Categorical"
"469078_value","Numeric + Categorical"
"469079_hilonormal_flag","Categorical"
"469079_value","Numeric + Categorical"
"471740_hilonormal_flag","None"
"471740_value","Categorical"
"471741_hilonormal_flag","None"
"471741_value","Categorical"
"475436_hilonormal_flag","Categorical"
"475436_value","Numeric + Categorical"
"475844_hilonormal_flag","None"
"475844_value","Categorical"
"475847_hilonormal_flag","None"
"475847_value","Categorical"
"486425_hilonormal_flag","Categorical"
"486425_value","Categorical"
"486426_hilonormal_flag","Categorical"
"486426_value","Categorical"
"486427_hilonormal_flag","Categorical"
"486427_value","Categorical"
"486428_hilonormal_flag","None"
"486428_value","Categorical"
"486429_hilonormal_flag","Categorical"
"486429_value","Categorical"
"486430_hilonormal_flag","Categorical"
"486430_value","Categorical"
"486431_hilonormal_flag","Categorical"
"486431_value","Categorical"
"486432_hilonormal_flag","Categorical"
"486432_value","Categorical"
"486433_hilonormal_flag","Categorical"
"486433_value","Categorical"
"486434_hilonormal_flag","Categorical"
"486434_value","Categorical"
"486435_hilonormal_flag","Categorical"
"486435_value","Categorical"
"486436_hilonormal_flag","Categorical"
"486436_value","Categorical"
"486437_hilonormal_flag","Categorical"
"486437_value","Categorical"
"486438_hilonormal_flag","Categorical"
"486438_value","Categorical"
"486439_hilonormal_flag","None"
"486439_value","Categorical"
"486440_hilonormal_flag","Categorical"
"486440_value","Categorical"
"486441_hilonormal_flag","Categorical"
"486441_value","Categorical"
"486465_hilonormal_flag","Categorical"
"486465_value","Categorical"
"486466_hilonormal_flag","Categorical"
"486466_value","Categorical"
"486467_hilonormal_flag","Categorical"
"486467_value","Categorical"
"486468_hilonormal_flag","Categorical"
"486468_value","Categorical"
"486469_hilonormal_flag","Categorical"
"486469_value","Categorical"
"486470_hilonormal_flag","Categorical"
"486470_value","Categorical"
"486471_hilonormal_flag","Categorical"
"486471_value","Categorical"
"486472_hilonormal_flag","Categorical"
"486472_value","Categorical"
"486473_hilonormal_flag","Categorical"
"486473_value","Categorical"
"486474_hilonormal_flag","Categorical"
"486474_value","Categorical"
"486475_hilonormal_flag","Categorical"
"486475_value","Categorical"
"486476_hilonormal_flag","Categorical"
"486476_value","Categorical"
"486477_hilonormal_flag","Categorical"
"486477_value","Categorical"
"486478_hilonormal_flag","Categorical"
"486478_value","Categorical"
"486479_hilonormal_flag","Categorical"
"486479_value","Categorical"
"486480_hilonormal_flag","Categorical"
"486480_value","Categorical"
"486481_hilonormal_flag","Categorical"
"486481_value","Categorical"
"486482_hilonormal_flag","Categorical"
"486482_value","Categorical"
"486483_hilonormal_flag","Categorical"
"486483_value","Categorical"
"486484_hilonormal_flag","Categorical"
"486484_value","Categorical"
"486485_hilonormal_flag","Categorical"
"486485_value","Categorical"
"487224_hilonormal_flag","Categorical"
"487224_value","Numeric + Categorical"
"487580_hilonormal_flag","Categorical"
"487580_value","Numeric + Categorical"
"487586_hilonormal_flag","None"
"487586_value","Categorical"
"494153_hilonormal_flag","None"
"494153_value","Categorical"
"496314_hilonormal_flag","None"
"496314_value","Categorical"
"496325_hilonormal_flag","Categorical"
"496325_value","Numeric + Categorical"
"496334_hilonormal_flag","Categorical"
"496334_value","Numeric + Categorical"
"496337_hilonormal_flag","None"
"496337_value","Categorical"
"496345_hilonormal_flag","Categorical"
"496345_value","Numeric + Categorical"
"496347_hilonormal_flag","Categorical"
"496347_value","Categorical"
"496353_hilonormal_flag","Categorical"
"496353_value","Numeric + Categorical"
"496354_hilonormal_flag","Categorical"
"496354_value","Numeric + Categorical"
"496369_hilonormal_flag","Categorical"
"496369_value","Numeric + Categorical"
"496372_hilonormal_flag","Categorical"
"496372_value","Categorical"
"496375_hilonormal_flag","None"
"496375_value","Categorical"
"496378_hilonormal_flag","Categorical"
"496378_value","Numeric + Categorical"
"496397_hilonormal_flag","Categorical"
"496397_value","Categorical"
"496398_hilonormal_flag","Categorical"
"496398_value","Numeric + Categorical"
"496411_hilonormal_flag","Categorical"
"496411_value","Categorical"
"496423_hilonormal_flag","Categorical"
"496423_value","Numeric + Categorical"
"496426_hilonormal_flag","None"
"496426_value","Categorical"
"496427_hilonormal_flag","Categorical"
"496427_value","Categorical"
"500442_hilonormal_flag","None"
"500442_value","Numeric + Categorical"
"501386_hilonormal_flag","Categorical"
"501386_value","Categorical"
"501387_hilonormal_flag","Categorical"
"501387_value","Categorical"
"501388_hilonormal_flag","None"
"501388_value","Categorical"
"502355_hilonormal_flag","None"
"502355_value","Numeric + Categorical"
"502356_hilonormal_flag","None"
"502356_value","Categorical"
"509251_hilonormal_flag","Categorical"
"509251_value","Numeric + Categorical"
"509265_hilonormal_flag","None"
"509265_value","Categorical"
"509267_hilonormal_flag","None"
"509267_value","Numeric + Categorical"
"509864_hilonormal_flag","None"
"509864_value","Categorical"
"511889_hilonormal_flag","Categorical"
"511889_value","Numeric + Categorical"
"511895_hilonormal_flag","Categorical"
"511895_value","Numeric + Categorical"
"512426_hilonormal_flag","Categorical"
"512426_value","Numeric + Categorical"
"512429_hilonormal_flag","Categorical"
"512429_value","Numeric + Categorical"
"512433_hilonormal_flag","Categorical"
"512433_value","Numeric + Categorical"
"512591_hilonormal_flag","Categorical"
"512591_value","Numeric + Categorical"
"512592_hilonormal_flag","Categorical"
"512592_value","Numeric + Categorical"
"512593_hilonormal_flag","Categorical"
"512593_value","Numeric + Categorical"
"512594_hilonormal_flag","Categorical"
"512594_value","Numeric + Categorical"
"513837_hilonormal_flag","Categorical"
"513837_value","Numeric"
"513838_hilonormal_flag","Categorical"
"513838_value","Numeric"
"513839_hilonormal_flag","Categorical"
"513839_value","Numeric"
"513840_hilonormal_flag","Categorical"
"513840_value","Numeric"
"513841_hilonormal_flag","Categorical"
"513841_value","Numeric"
"513842_hilonormal_flag","Categorical"
"513842_value","Numeric"
"517589_hilonormal_flag","None"
"517589_value","Categorical"
"517590_hilonormal_flag","None"
"517590_value","Categorical"
"517594_hilonormal_flag","None"
"517594_value","Categorical"
"518306_hilonormal_flag","None"
"518306_value","Categorical"
"518312_hilonormal_flag","None"
"518312_value","Categorical"
"518933_hilonormal_flag","Categorical"
"518933_value","Numeric + Categorical"
"519888_hilonormal_flag","Categorical"
"519888_value","Numeric + Categorical"
"519889_hilonormal_flag","Categorical"
"519889_value","Numeric + Categorical"
"520024_hilonormal_flag","None"
"520024_value","Categorical"
"527390_hilonormal_flag","None"
"527390_value","Categorical"
"535394_hilonormal_flag","Categorical"
"535394_value","Categorical"
"649262_hilonormal_flag","None"
"649262_value","Numeric + Categorical"
"653957_hilonormal_flag","None"
"653957_value","Categorical"
"653958_hilonormal_flag","None"
"653958_value","Numeric"
"654894_hilonormal_flag","Categorical"
"654894_value","Numeric + Categorical"
"657774_hilonormal_flag","None"
"657774_value","Categorical"
"657775_hilonormal_flag","Categorical"
"657775_value","Categorical"
"657983_hilonormal_flag","None"
"657983_value","Categorical"
"658794_hilonormal_flag","Categorical"
"658794_value","Categorical"
"666019_hilonormal_flag","None"
"666019_value","Numeric + Categorical"
"666414_hilonormal_flag","None"
"666414_value","Numeric + Categorical"
"666415_hilonormal_flag","None"
"666415_value","Categorical"
"676012_hilonormal_flag","None"
"676012_value","Categorical"
"676018_hilonormal_flag","Categorical"
"676018_value","Numeric + Categorical"
"678707_hilonormal_flag","None"
"678707_value","Categorical"
"678744_hilonormal_flag","Categorical"
"678744_value","Categorical"
"678776_hilonormal_flag","None"
"678776_value","Categorical"
"683083_hilonormal_flag","Categorical"
"683083_value","Numeric + Categorical"
"691732_hilonormal_flag","None"
"691732_value","Categorical"
"81656_hilonormal_flag","Categorical"
"81656_value","Numeric + Categorical"
"81668_hilonormal_flag","None"
"81668_value","Numeric + Categorical"
"81669_hilonormal_flag","Categorical"
"81669_value","Numeric + Categorical"
"81670_hilonormal_flag","Categorical"
"81670_value","Numeric + Categorical"
"81671_hilonormal_flag","Categorical"
"81671_value","Numeric + Categorical"
"81672_hilonormal_flag","Categorical"
"81672_value","Numeric + Categorical"
"81673_hilonormal_flag","None"
"81673_value","Numeric + Categorical"
"81674_hilonormal_flag","Categorical"
"81674_value","Numeric + Categorical"
"81675_hilonormal_flag","Categorical"
"81675_value","Numeric + Categorical"
"81676_hilonormal_flag","Categorical"
"81676_value","Numeric + Categorical"
"81677_hilonormal_flag","Categorical"
"81677_value","Numeric + Categorical"
"81679_hilonormal_flag","Categorical"
"81679_value","Numeric + Categorical"
"81680_hilonormal_flag","Categorical"
"81680_value","Numeric + Categorical"
"81681_hilonormal_flag","Categorical"
"81681_value","Numeric + Categorical"
"81682_hilonormal_flag","Categorical"
"81682_value","Numeric + Categorical"
"81683_hilonormal_flag","Categorical"
"81683_value","Numeric + Categorical"
"81684_hilonormal_flag","None"
"81684_value","Numeric + Categorical"
"81686_hilonormal_flag","Categorical"
"81686_value","Numeric + Categorical"
"81688_hilonormal_flag","Categorical"
"81688_value","Numeric + Categorical"
"81690_hilonormal_flag","Categorical"
"81690_value","Numeric + Categorical"
"81691_hilonormal_flag","Categorical"
"81691_value","Numeric + Categorical"
"81692_hilonormal_flag","Categorical"
"81692_value","Numeric + Categorical"
"81693_hilonormal_flag","Categorical"
"81693_value","Numeric + Categorical"
"81694_hilonormal_flag","Categorical"
"81694_value","Numeric + Categorical"
"81695_hilonormal_flag","Categorical"
"81695_value","Numeric + Categorical"
"81696_hilonormal_flag","Categorical"
"81696_value","Numeric + Categorical"
"81697_hilonormal_flag","Categorical"
"81697_value","Numeric + Categorical"
"81698_hilonormal_flag","Categorical"
"81698_value","Numeric + Categorical"
"81699_hilonormal_flag","Categorical"
"81699_value","Numeric + Categorical"
"81701_hilonormal_flag","Categorical"
"81701_value","Numeric + Categorical"
"81702_hilonormal_flag","Categorical"
"81702_value","Numeric + Categorical"
"81703_hilonormal_flag","Categorical"
"81703_value","Numeric + Categorical"
"81704_hilonormal_flag","Categorical"
"81704_value","Numeric + Categorical"
"81705_hilonormal_flag","Categorical"
"81705_value","Numeric + Categorical"
"81706_hilonormal_flag","Categorical"
"81706_value","Numeric + Categorical"
"81707_hilonormal_flag","Categorical"
"81707_value","Numeric + Categorical"
"81708_hilonormal_flag","Categorical"
"81708_value","Numeric + Categorical"
"81709_hilonormal_flag","Categorical"
"81709_value","Numeric + Categorical"
"81710_hilonormal_flag","Categorical"
"81710_value","Numeric + Categorical"
"81711_hilonormal_flag","Categorical"
"81711_value","Numeric + Categorical"
"81712_hilonormal_flag","Categorical"
"81712_value","Numeric + Categorical"
"81713_hilonormal_flag","Categorical"
"81713_value","Numeric + Categorical"
"81714_hilonormal_flag","Categorical"
"81714_value","Numeric + Categorical"
"81715_hilonormal_flag","Categorical"
"81715_value","Numeric + Categorical"
"81716_hilonormal_flag","Categorical"
"81716_value","Numeric + Categorical"
"81717_hilonormal_flag","None"
"81717_value","Numeric + Categorical"
"81719_hilonormal_flag","Categorical"
"81719_value","Numeric + Categorical"
"81722_hilonormal_flag","None"
"81722_value","Numeric + Categorical"
"81723_hilonormal_flag","Categorical"
"81723_value","Numeric + Categorical"
"81724_hilonormal_flag","Categorical"
"81724_value","Numeric + Categorical"
"81725_hilonormal_flag","Categorical"
"81725_value","Numeric + Categorical"
"81726_hilonormal_flag","Categorical"
"81726_value","Numeric + Categorical"
"81727_hilonormal_flag","None"
"81727_value","Numeric + Categorical"
"81729_hilonormal_flag","Categorical"
"81729_value","Numeric + Categorical"
"81730_hilonormal_flag","Categorical"
"81730_value","Numeric + Categorical"
"81731_hilonormal_flag","Categorical"
"81731_value","Numeric + Categorical"
"81732_hilonormal_flag","Categorical"
"81732_value","Numeric + Categorical"
"81733_hilonormal_flag","Categorical"
"81733_value","Numeric + Categorical"
"81734_hilonormal_flag","Categorical"
"81734_value","Numeric + Categorical"
"81735_hilonormal_flag","Categorical"
"81735_value","Numeric + Categorical"
"81736_hilonormal_flag","Categorical"
"81736_value","Numeric + Categorical"
"81737_hilonormal_flag","None"
"81737_value","Numeric + Categorical"
"81739_hilonormal_flag","Categorical"
"81739_value","Numeric + Categorical"
"81743_hilonormal_flag","Categorical"
"81743_value","Numeric + Categorical"
"81745_hilonormal_flag","Categorical"
"81745_value","Numeric + Categorical"
"81747_hilonormal_flag","Categorical"
"81747_value","Numeric + Categorical"
"81748_hilonormal_flag","Categorical"
"81748_value","Numeric + Categorical"
"81751_hilonormal_flag","Categorical"
"81751_value","Numeric + Categorical"
"81752_hilonormal_flag","Categorical"
"81752_value","Numeric + Categorical"
"81753_hilonormal_flag","Categorical"
"81753_value","Numeric + Categorical"
"81754_hilonormal_flag","Categorical"
"81754_value","Numeric + Categorical"
"81755_hilonormal_flag","None"
"81755_value","Numeric + Categorical"
"81757_hilonormal_flag","Categorical"
"81757_value","Numeric"
"81759_hilonormal_flag","Categorical"
"81759_value","Numeric + Categorical"
"81760_hilonormal_flag","Categorical"
"81760_value","Numeric + Categorical"
"81761_hilonormal_flag","Categorical"
"81761_value","Numeric + Categorical"
"81762_hilonormal_flag","Categorical"
"81762_value","Numeric + Categorical"
"81763_hilonormal_flag","Categorical"
"81763_value","Numeric + Categorical"
"81765_hilonormal_flag","None"
"81765_value","Numeric + Categorical"
"81767_hilonormal_flag","Categorical"
"81767_value","Numeric + Categorical"
"81770_hilonormal_flag","Categorical"
"81770_value","Numeric + Categorical"
"81771_hilonormal_flag","Categorical"
"81771_value","Numeric + Categorical"
"81775_hilonormal_flag","None"
"81775_value","Numeric + Categorical"
"81776_hilonormal_flag","Categorical"
"81776_value","Numeric + Categorical"
"81777_hilonormal_flag","Categorical"
"81777_value","Numeric + Categorical"
"81778_hilonormal_flag","Categorical"
"81778_value","Numeric + Categorical"
"81779_hilonormal_flag","Categorical"
"81779_value","Numeric + Categorical"
"81780_hilonormal_flag","Categorical"
"81780_value","Numeric"
"81781_hilonormal_flag","None"
"81781_value","Numeric"
"81783_hilonormal_flag","Categorical"
"81783_value","Numeric + Categorical"
"81787_hilonormal_flag","None"
"81787_value","Categorical"
"81795_hilonormal_flag","Categorical"
"81795_value","Numeric"
"81797_hilonormal_flag","Categorical"
"81797_value","Numeric"
"81799_hilonormal_flag","Categorical"
"81799_value","Numeric + Categorical"
"81800_hilonormal_flag","Categorical"
"81800_value","Numeric"
"81801_hilonormal_flag","None"
"81801_value","Numeric"
"81803_hilonormal_flag","Categorical"
"81803_value","Numeric + Categorical"
"81805_hilonormal_flag","None"
"81805_value","Numeric + Categorical"
"81806_hilonormal_flag","None"
"81806_value","Numeric + Categorical"
"81807_hilonormal_flag","Categorical"
"81807_value","Numeric + Categorical"
"81809_hilonormal_flag","Categorical"
"81809_value","Numeric + Categorical"
"81812_hilonormal_flag","None"
"81812_value","Numeric + Categorical"
"81817_hilonormal_flag","Categorical"
"81817_value","Numeric"
"81819_hilonormal_flag","Categorical"
"81819_value","Categorical"
"81820_hilonormal_flag","Categorical"
"81820_value","Categorical"
"81821_hilonormal_flag","Categorical"
"81821_value","Numeric + Categorical"
"81823_hilonormal_flag","Categorical"
"81823_value","Numeric + Categorical"
"81824_hilonormal_flag","Categorical"
"81824_value","Categorical"
"81825_hilonormal_flag","Categorical"
"81825_value","Numeric + Categorical"
"81826_hilonormal_flag","Categorical"
"81826_value","Numeric + Categorical"
"81827_hilonormal_flag","Categorical"
"81827_value","Numeric + Categorical"
"81828_hilonormal_flag","Categorical"
"81828_value","Numeric + Categorical"
"81829_hilonormal_flag","Categorical"
"81829_value","Numeric + Categorical"
"81830_hilonormal_flag","Categorical"
"81830_value","Numeric + Categorical"
"81832_hilonormal_flag","None"
"81832_value","Categorical"
"81836_hilonormal_flag","Categorical"
"81836_value","Numeric + Categorical"
"81838_hilonormal_flag","Categorical"
"81838_value","Numeric + Categorical"
"81840_hilonormal_flag","Categorical"
"81840_value","Numeric + Categorical"
"81845_hilonormal_flag","None"
"81845_value","Categorical"
"81847_hilonormal_flag","None"
"81847_value","Categorical"
"81849_hilonormal_flag","None"
"81849_value","Numeric + Categorical"
"81852_hilonormal_flag","Categorical"
"81852_value","Categorical"
"81853_hilonormal_flag","Categorical"
"81853_value","Categorical"
"81854_hilonormal_flag","Categorical"
"81854_value","Categorical"
"81855_hilonormal_flag","Categorical"
"81855_value","Categorical"
"81856_hilonormal_flag","Categorical"
"81856_value","Categorical"
"81857_hilonormal_flag","Categorical"
"81857_value","Categorical"
"81858_hilonormal_flag","Categorical"
"81858_value","Categorical"
"81859_hilonormal_flag","None"
"81859_value","Categorical"
"81861_hilonormal_flag","None"
"81861_value","Categorical"
"81863_hilonormal_flag","Categorical"
"81863_value","Numeric + Categorical"
"81865_hilonormal_flag","Categorical"
"81865_value","Numeric + Categorical"
"81868_hilonormal_flag","Categorical"
"81868_value","Categorical"
"81869_hilonormal_flag","None"
"81869_value","Categorical"
"81870_hilonormal_flag","Categorical"
"81870_value","Numeric + Categorical"
"81871_hilonormal_flag","Categorical"
"81871_value","Numeric + Categorical"
"81874_hilonormal_flag","Categorical"
"81874_value","Numeric + Categorical"
"81877_hilonormal_flag","Categorical"
"81877_value","Numeric + Categorical"
"81878_hilonormal_flag","Categorical"
"81878_value","Numeric + Categorical"
"81881_hilonormal_flag","Categorical"
"81881_value","Numeric + Categorical"
"81882_hilonormal_flag","Categorical"
"81882_value","Numeric + Categorical"
"81883_hilonormal_flag","Categorical"
"81883_value","Numeric"
"81884_hilonormal_flag","Categorical"
"81884_value","Numeric"
"81885_hilonormal_flag","Categorical"
"81885_value","Numeric"
"81886_hilonormal_flag","Categorical"
"81886_value","Numeric"
"81888_hilonormal_flag","Categorical"
"81888_value","Categorical"
"81889_hilonormal_flag","None"
"81889_value","Categorical"
"81891_hilonormal_flag","Categorical"
"81891_value","Numeric + Categorical"
"81892_hilonormal_flag","Categorical"
"81892_value","Numeric + Categorical"
"81893_hilonormal_flag","Categorical"
"81893_value","Numeric"
"81895_hilonormal_flag","Categorical"
"81895_value","Numeric + Categorical"
"81897_hilonormal_flag","Categorical"
"81897_value","Numeric"
"81898_hilonormal_flag","Categorical"
"81898_value","Numeric"
"81899_hilonormal_flag","Categorical"
"81899_value","Numeric + Categorical"
"81900_hilonormal_flag","Categorical"
"81900_value","Numeric + Categorical"
"81901_hilonormal_flag","Categorical"
"81901_value","Numeric"
"81903_hilonormal_flag","Categorical"
"81903_value","Numeric + Categorical"
"81904_hilonormal_flag","Categorical"
"81904_value","Categorical"
"81905_hilonormal_flag","Categorical"
"81905_value","Categorical"
"81906_hilonormal_flag","Categorical"
"81906_value","Categorical"
"81907_hilonormal_flag","Categorical"
"81907_value","Categorical"
"81910_hilonormal_flag","None"
"81910_value","Numeric + Categorical"
"81913_hilonormal_flag","Categorical"
"81913_value","Numeric + Categorical"
"81915_hilonormal_flag","None"
"81915_value","Categorical"
"81917_hilonormal_flag","None"
"81917_value","Categorical"
"81918_hilonormal_flag","Categorical"
"81918_value","Categorical"
"81919_hilonormal_flag","Categorical"
"81919_value","Categorical"
"81921_hilonormal_flag","Categorical"
"81921_value","Numeric + Categorical"
"81923_hilonormal_flag","None"
"81923_value","Categorical"
"81925_hilonormal_flag","Categorical"
"81925_value","Numeric + Categorical"
"81927_hilonormal_flag","Categorical"
"81927_value","Numeric + Categorical"
"81929_hilonormal_flag","Categorical"
"81929_value","Numeric + Categorical"
"81932_hilonormal_flag","None"
"81932_value","Categorical"
"81934_hilonormal_flag","Categorical"
"81934_value","Numeric + Categorical"
"81936_hilonormal_flag","Categorical"
"81936_value","Numeric"
"81938_hilonormal_flag","Categorical"
"81938_value","Numeric + Categorical"
"81942_hilonormal_flag","None"
"81942_value","Categorical"
"81944_hilonormal_flag","Categorical"
"81944_value","Numeric + Categorical"
"81948_hilonormal_flag","None"
"81948_value","Categorical"
"81954_hilonormal_flag","None"
"81954_value","Categorical"
"81955_hilonormal_flag","None"
"81955_value","Categorical"
"81958_hilonormal_flag","Categorical"
"81958_value","Numeric + Categorical"
"81960_hilonormal_flag","None"
"81960_value","Categorical"
"81962_hilonormal_flag","None"
"81962_value","Categorical"
"81964_hilonormal_flag","Categorical"
"81964_value","Numeric + Categorical"
"81965_hilonormal_flag","Categorical"
"81965_value","Categorical"
"81966_hilonormal_flag","Categorical"
"81966_value","Categorical"
"81980_hilonormal_flag","Categorical"
"81980_value","Numeric"
"81982_hilonormal_flag","Categorical"
"81982_value","Numeric + Categorical"
"81984_hilonormal_flag","Categorical"
"81984_value","Numeric + Categorical"
"81985_hilonormal_flag","Categorical"
"81985_value","Categorical"
"81991_hilonormal_flag","Categorical"
"81991_value","Numeric + Categorical"
"81993_hilonormal_flag","Categorical"
"81993_value","Categorical"
"81994_hilonormal_flag","Categorical"
"81994_value","Categorical"
"81999_hilonormal_flag","Categorical"
"81999_value","Numeric + Categorical"
"82001_hilonormal_flag","Categorical"
"82001_value","Numeric + Categorical"
"82004_hilonormal_flag","Categorical"
"82004_value","Numeric + Categorical"
"82007_hilonormal_flag","None"
"82007_value","Categorical"
"82009_hilonormal_flag","Categorical"
"82009_value","Categorical"
"82011_hilonormal_flag","None"
"82011_value","Numeric + Categorical"
"82015_hilonormal_flag","None"
"82015_value","Categorical"
"82017_hilonormal_flag","Categorical"
"82017_value","Numeric + Categorical"
"82033_hilonormal_flag","None"
"82033_value","Categorical"
"82059_hilonormal_flag","Categorical"
"82059_value","Numeric + Categorical"
"82061_hilonormal_flag","Categorical"
"82061_value","Numeric + Categorical"
"82064_hilonormal_flag","Categorical"
"82064_value","Numeric + Categorical"
"82065_hilonormal_flag","Categorical"
"82065_value","Categorical"
"82066_hilonormal_flag","Categorical"
"82066_value","Numeric + Categorical"
"82067_hilonormal_flag","Categorical"
"82067_value","Categorical"
"82069_hilonormal_flag","Categorical"
"82069_value","Numeric + Categorical"
"82070_hilonormal_flag","Categorical"
"82070_value","Numeric + Categorical"
"82071_hilonormal_flag","Categorical"
"82071_value","Numeric + Categorical"
"82076_hilonormal_flag","None"
"82076_value","Categorical"
"82081_hilonormal_flag","Categorical"
"82081_value","Categorical"
"82083_hilonormal_flag","Categorical"
"82083_value","Categorical"
"82085_hilonormal_flag","Categorical"
"82085_value","Categorical"
"82091_hilonormal_flag","Categorical"
"82091_value","Numeric + Categorical"
"82092_hilonormal_flag","Categorical"
"82092_value","Numeric + Categorical"
"82093_hilonormal_flag","Categorical"
"82093_value","Numeric + Categorical"
"82101_hilonormal_flag","None"
"82101_value","Categorical"
"82102_hilonormal_flag","None"
"82102_value","Categorical"
"82103_hilonormal_flag","None"
"82103_value","Numeric + Categorical"
"82104_hilonormal_flag","None"
"82104_value","Numeric + Categorical"
"82106_hilonormal_flag","None"
"82106_value","Categorical"
"82109_hilonormal_flag","None"
"82109_value","Numeric + Categorical"
"82110_hilonormal_flag","None"
"82110_value","Numeric + Categorical"
"82111_hilonormal_flag","None"
"82111_value","Numeric + Categorical"
"82112_hilonormal_flag","None"
"82112_value","Numeric + Categorical"
"82113_hilonormal_flag","None"
"82113_value","Numeric + Categorical"
"82114_hilonormal_flag","Categorical"
"82114_value","Numeric + Categorical"
"82115_hilonormal_flag","Categorical"
"82115_value","Numeric + Categorical"
"82116_hilonormal_flag","Categorical"
"82116_value","Numeric + Categorical"
"82122_hilonormal_flag","Categorical"
"82122_value","Numeric"
"82124_hilonormal_flag","Categorical"
"82124_value","Numeric"
"82125_hilonormal_flag","Categorical"
"82125_value","Numeric + Categorical"
